"box","section","x","y","edge_edi","altitude_m","northness","no_trees_75m","pnum","area_polygon","area_polygon_sqrt"
"B103","B",447834.72,207496.76,11.1153,112.677,0.709781004,11,"19621B103",6606.96727861091,81.283253371226
"B103","B",447834.72,207496.76,11.1153,112.677,0.709781004,11,"19601B103",101780.228072595,319.030136621284
"B103","B",447834.72,207496.76,11.1153,112.677,0.709781004,11,"20101B103",5049.92032337282,71.0627914127557
"B103","B",447834.72,207496.76,11.1153,112.677,0.709781004,11,"19701B103",7055.58869853802,83.9975517413336
"B103","B",447834.72,207496.76,11.1153,112.677,0.709781004,11,"19611B103",870.282558671199,29.5005518367233
"B103","B",447834.72,207496.76,11.1153,112.677,0.709781004,11,"20041B103",6067.11101617292,77.8916620452595
"B103","B",447834.72,207496.76,11.1153,112.677,0.709781004,11,"20111B103",1218.6874419339,34.909704122692
"B104","B",447838.32,207450.9,2.65996,114.361,-0.111004087,8,"19781B104",13573.5803625844,116.505709570752
"B104","B",447838.32,207450.9,2.65996,114.361,-0.111004087,8,"19851B104",8666.64528935775,93.0948188104889
"B104","B",447838.32,207450.9,2.65996,114.361,-0.111004087,8,"20111B104",1955.75790151767,44.2239516723424
"B104","B",447838.32,207450.9,2.65996,114.361,-0.111004087,8,"20081B104",1792.94013013691,42.3431237645135
"B104","B",447838.32,207450.9,2.65996,114.361,-0.111004087,8,"20221B104",3905.34884939715,62.4927903793482
"B104","B",447838.32,207450.9,2.65996,114.361,-0.111004087,8,"19741B104",6495.40714790858,80.5940887901128
"B105","B",447818.72,207429.76,6.69994,118.018,-0.048307613,8,"19951B105",7637.84718166199,87.3947777711116
"B105","B",447818.72,207429.76,6.69994,118.018,-0.048307613,8,"19721B105",7718.89356182236,87.8572339754807
"B105","B",447818.72,207429.76,6.69994,118.018,-0.048307613,8,"19941B105",15408.4237712566,124.130672161463
"B105","B",447818.72,207429.76,6.69994,118.018,-0.048307613,8,"20091B105",2357.11856506765,48.5501654484065
"B105","B",447818.72,207429.76,6.69994,118.018,-0.048307613,8,"19691B105",7833.48798140511,88.5069939688673
"B105","B",447818.72,207429.76,6.69994,118.018,-0.048307613,8,"20051B105",2991.53787845187,54.6949529522777
"B105","B",447818.72,207429.76,6.69994,118.018,-0.048307613,8,"19891B105",14117.588344425,118.817458079295
"B105","B",447818.72,207429.76,6.69994,118.018,-0.048307613,8,"19821B105",87737.3177492367,296.204857740782
"B105","B",447818.72,207429.76,6.69994,118.018,-0.048307613,8,"20191B105",3727.41643112525,61.0525710443488
"B105","B",447818.72,207429.76,6.69994,118.018,-0.048307613,8,"19711B105",7650.47247892339,87.4669793632053
"B106","B",447800.72,207405.76,1.50931,120.721,0.220869363,6,"19641B106",14418.4327762539,120.076778672039
"B106","B",447800.72,207405.76,1.50931,120.721,0.220869363,6,"20081B106",1319.6603685189,36.3271299240513
